origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank
2023-12-20,ARI incidence,2023-12-24,2,EE,respicast,quantileBaseline,WIS,45.8339220947339,0.0,7,1
2023-12-20,ARI incidence,2023-12-24,2,ES,ECDC,ARI2MA,WIS,155.657399719468,0.06711473687567071,7,6
2023-12-20,ARI incidence,2023-12-24,2,ES,ECDC,norrsken_blue,WIS,80.7038865104098,0.5163258120840657,7,4
2023-12-20,ARI incidence,2023-12-24,2,ES,ECDC,norrsken_green,WIS,143.427922714044,0.1404083862276393,7,5
2023-12-20,ARI incidence,2023-12-24,2,ES,ISI,AriABCaster,WIS,46.3813898742868,0.722027252318705,7,2
2023-12-20,ARI incidence,2023-12-24,2,ES,ISI,GenLogModelAri,WIS,41.066914265405,0.7538779448376258,7,1
2023-12-20,ARI incidence,2023-12-24,2,ES,respicast,hubEnsemble,WIS,46.7760213504306,0.7196621486415073,7,3
2023-12-20,ARI incidence,2023-12-24,2,ES,respicast,quantileBaseline,WIS,166.855888791892,0.0,7,7
2023-12-20,ARI incidence,2023-12-24,2,FI,ECDC,ARI2MA,WIS,462.00690477443,0.2472869741791358,3,1
2023-12-20,ARI incidence,2023-12-24,2,FI,respicast,hubEnsemble,WIS,462.00690477443,0.2472869741791358,3,1
2023-12-20,ARI incidence,2023-12-24,2,FI,respicast,quantileBaseline,WIS,613.788906164594,0.0,3,3
2023-12-20,ARI incidence,2023-12-24,2,FR,ECDC,ARI2MA,WIS,58.3861674797213,-0.668061059899955,7,2
2023-12-20,ARI incidence,2023-12-24,2,FR,ECDC,norrsken_blue,WIS,129.671259161357,-2.704637371007099,7,3
2023-12-20,ARI incidence,2023-12-24,2,FR,ECDC,norrsken_green,WIS,215.290819472302,-5.150741657095868,7,6
2023-12-20,ARI incidence,2023-12-24,2,FR,ISI,AriABCaster,WIS,225.362806955629,-5.438492863279641,7,7
2023-12-20,ARI incidence,2023-12-24,2,FR,ISI,GenLogModelAri,WIS,184.653985275712,-4.275463961575048,7,5
2023-12-20,ARI incidence,2023-12-24,2,FR,respicast,hubEnsemble,WIS,179.062674305858,-4.1157232472038885,7,4
2023-12-20,ARI incidence,2023-12-24,2,FR,respicast,quantileBaseline,WIS,35.0024162084469,0.0,7,1
2023-12-20,ARI incidence,2023-12-24,2,HU,ECDC,ARI2MA,WIS,116.063790004152,0.15242273874909962,7,1
2023-12-20,ARI incidence,2023-12-24,2,HU,ECDC,norrsken_blue,WIS,1165.36526364085,-7.510295058246076,7,6
2023-12-20,ARI incidence,2023-12-24,2,HU,ECDC,norrsken_green,WIS,1365.53793528154,-8.972092960937541,7,7
2023-12-20,ARI incidence,2023-12-24,2,HU,ISI,AriABCaster,WIS,157.80844116514,-0.152425285786707,7,3
2023-12-20,ARI incidence,2023-12-24,2,HU,ISI,GenLogModelAri,WIS,501.823761062582,-2.6646606923385305,7,5
